Team,2015 Value,2016 Value,2017 Value,2018 Value,2019 Value
ATL," $825,000,000.00 "," $825,000,000.00 "," $885,000,000.00 "," $1,150,000,000.00 "," $1,300,000,000.00 "
BKY," $1,500,000,000.00 "," $1,700,000,000.00 "," $1,800,000,000.00 "," $2,300,000,000.00 "," $2,350,000,000.00 "
BOS," $1,700,000,000.00 "," $2,100,000,000.00 "," $2,200,000,000.00 "," $2,500,000,000.00 "," $2,800,000,000.00 "
CHA," $725,000,000.00 "," $750,000,000.00 "," $780,000,000.00 "," $1,050,000,000.00 "," $1,250,000,000.00 "
CHI," $2,000,000,000.00 "," $2,300,000,000.00 "," $2,500,000,000.00 "," $2,600,000,000.00 "," $2,900,000,000.00 "
CLE," $915,000,000.00 "," $1,100,000,000.00 "," $1,200,000,000.00 "," $1,325,000,000.00 "," $1,275,000,000.00 "
DAL," $1,150,000,000.00 "," $1,400,000,000.00 "," $1,450,000,000.00 "," $1,900,000,000.00 "," $2,250,000,000.00 "
DEN," $855,000,000.00 "," $855,000,000.00 "," $890,000,000.00 "," $1,125,000,000.00 "," $1,375,000,000.00 "
DET," $810,000,000.00 "," $850,000,000.00 "," $900,000,000.00 "," $1,100,000,000.00 "," $1,270,000,000.00 "
GS," $1,300,000,000.00 "," $1,900,000,000.00 "," $2,600,000,000.00 "," $3,100,000,000.00 "," $3,500,000,000.00 "
HOU," $1,250,000,000.00 "," $1,500,000,000.00 "," $1,650,000,000.00 "," $2,200,000,000.00 "," $2,300,000,000.00 "
IND," $830,000,000.00 "," $840,000,000.00 "," $880,000,000.00 "," $1,175,000,000.00 "," $1,400,000,000.00 "
LAC," $1,600,000,000.00 "," $2,000,000,000.00 "," $2,000,000,000.00 "," $2,150,000,000.00 "," $2,200,000,000.00 "
LAL," $2,600,000,000.00 "," $2,700,000,000.00 "," $3,000,000,000.00 "," $3,300,000,000.00 "," $3,700,000,000.00 "
MEM," $750,000,000.00 "," $780,000,000.00 "," $790,000,000.00 "," $1,025,000,000.00 "," $1,200,000,000.00 "
MIA," $1,175,000,000.00 "," $1,300,000,000.00 "," $1,350,000,000.00 "," $1,700,000,000.00 "," $1,750,000,000.00 "
MIL," $600,000,000.00 "," $675,000,000.00 "," $785,000,000.00 "," $1,075,000,000.00 "," $1,350,000,000.00 "
MIN," $625,000,000.00 "," $720,000,000.00 "," $770,000,000.00 "," $1,060,000,000.00 "," $1,260,000,000.00 "
NO," $650,000,000.00 "," $650,000,000.00 "," $750,000,000.00 "," $1,000,000,000.00 "," $1,220,000,000.00 "
NY," $2,500,000,000.00 "," $3,000,000,000.00 "," $3,300,000,000.00 "," $3,600,000,000.00 "," $4,000,000,000.00 "
OKC," $930,000,000.00 "," $950,000,000.00 "," $1,025,000,000.00 "," $1,250,000,000.00 "," $1,475,000,000.00 "
ORL," $875,000,000.00 "," $900,000,000.00 "," $920,000,000.00 "," $1,225,000,000.00 "," $1,325,000,000.00 "
PHI," $700,000,000.00 "," $700,000,000.00 "," $800,000,000.00 "," $1,180,000,000.00 "," $1,650,000,000.00 "
PHX," $910,000,000.00 "," $1,000,000,000.00 "," $1,100,000,000.00 "," $1,280,000,000.00 "," $1,500,000,000.00 "
POR," $940,000,000.00 "," $975,000,000.00 "," $1,050,000,000.00 "," $1,300,000,000.00 "," $1,600,000,000.00 "
SA," $1,000,000,000.00 "," $1,150,000,000.00 "," $1,175,000,000.00 "," $1,550,000,000.00 "," $1,625,000,000.00 "
SAC," $800,000,000.00 "," $925,000,000.00 "," $1,075,000,000.00 "," $1,375,000,000.00 "," $1,575,000,000.00 "
TOR," $920,000,000.00 "," $980,000,000.00 "," $1,125,000,000.00 "," $1,400,000,000.00 "," $1,675,000,000.00 "
UTH," $850,000,000.00 "," $875,000,000.00 "," $910,000,000.00 "," $1,250,000,000.00 "," $1,425,000,000.00 "
WSH," $900,000,000.00 "," $960,000,000.00 "," $1,000,000,000.00 "," $1,350,000,000.00 "," $1,550,000,000.00 "
